TEXTBODY,Category
TTI I show invoice 023743201 $ 549 paid on 3/30. Kelly Husted Office Manager | Applied Control Electronics phone: (530)626-5181 site: https://urldefense.proofpoint.com/v2/url?u=http-3A__www.appconx.com&d=DwIBaQ&c=03vu6jtmBLnSLFHPW7mKsg&r=aG7akD9oqbxtcStC-bTGnSXcuy1nvHYoRfLJ3maKouU&m=Q9y6t0f80gHzwtlxVKVGyxGvooFjpSbjUBYGJlL-hEw&s=2ZYzVgcox6XKeTYW_r1fFRrZPLyYu6Tm95T8NSu7zyI&e= email: Kelly@appliedcontrolelectronics.com address: 5480 Merchant Circle. Placerville CA 95667,Paid by Customer
"Nina, Invoice 790028800 - See email I had sent you way back on this which is self explanatory. Invoice 869071803 - This invoice was not entered in the system. Due to some reason there was another invoice ending 869071804 for same amount.  Today I have processed this invoice for ACH payment on 04/16/20. Invoice 018291501 - You should receive ACH payment tomorrow on this. Let me know if I can be of any further help.  Sorry about invoice 869071803 which was an oversight on my part.",Promised
 Your email may not have been delivered. See the attached delivery notification. You're getting this message because your organization elected to forward delivery status notifications for emails you send.,Undeliverable
 Your email may not have been delivered. See the attached delivery notification. You're getting this message because your organization elected to forward delivery status notifications for emails you send.,Undeliverable
 Your email may not have been delivered. See the attached delivery notification. You're getting this message because your organization elected to forward delivery status notifications for emails you send.,Undeliverable
"Hello Our manual processing system has been down since Thursday, which is being worked on at highest priority. ",Other
 COVID-19 has impacted many of our customers which in turn has impacted us. We are working with them through these difficult times and in turn ask that you work with us also. We are making every effort to ensure payments are made in a timely manner and appreciate your patience.,Promised
 Your email may not have been delivered. See the attached delivery notification. You're getting this message because your organization elected to forward delivery status notifications for emails you send.,Undeliverable
"Alyson, Our system does not differentiate between tariff invoice and invoices for product.  So one net terms applies to all the invoices.  So the tariff one is set to pay on our normal terms.  If that needs to be changed, it would need to go through our supply chain to have the change approved.  That would mean I would have to remember to manually change each tariff invoice's terms. The other two old invoice have been addressed on multiple occasions in past emails.",Other
"Nina, We should have a payment for you very shortly. you,",Promised
"Phaedra, We will be mailing a payment Thursday.  We are having some difficulty do to the Coronavirus, but I can get out checks weekly.  I will be able to send a check for the oldest invoice.",Promised
 Your email may not have been delivered. See the attached delivery notification. You're getting this message because your organization elected to forward delivery status notifications for emails you send.,Undeliverable
"Kim, Our next payment run is next Friday, ",Promised
 Your email may not have been delivered. See the attached delivery notification. You're getting this message because your organization elected to forward delivery status notifications for emails you send.,Undeliverable
" Check #136591 was issued on 4/6/2020 for $308.18. This covers the two oldest invoices. You should be receiving this check any day. I do want to let you know that Geotech is doing business as usual, there are no cash freezes but because of the current situations, things are being approved a little slower which means payments are being sent out slower. If you have any questions or would like an update, feel free to reach out.",Paid by Customer
"Nora, A check was cut on 4/13 for invoice numbers 21279601 and 878030705, totaling 3223.20, check number 7453 Another check was cut on 4/14 for invoice numbers 23206201, 876136603, 24906601, totaling $1,020.96, check number 7479",Remittance
"Good evening, I just wanted to update you, I did investigate these invoices and located all three and their packing slips. I have posted them today and you should see a payment Thursday the 16, no later then Tuesday the 21.",Promised
"Hi We will pay you by the end of this month. Thks, 10079701 873722301 879207101 877263301 880676801 873723502 Best Regards, Jenny Zhang| Buyer | ATL Technology o: +769 88633868 EXT:836 | c: +86 19902625593 e: jennyz@atltechnology.asia<mailto:jennyz@atltechnology.asia> | https://urldefense.proofpoint.com/v2/url?u=http-3A__www.atltechnology.com&d=DwIGbw&c=03vu6jtmBLnSLFHPW7mKsg&r=aG7akD9oqbxtcStC-bTGnSXcuy1nvHYoRfLJ3maKouU&m=-5rCzwCmgSkp37_DKdXmVeh1r-0H6H73OE1MrdHccVo&s=E6nRqjnWCm5kDyj5t3_6apVcbLcXvsgXXGwaudPY738&e= <https://urldefense.proofpoint.com/v2/url?u=http-3A__www.atltechnology.com_&d=DwIGbw&c=03vu6jtmBLnSLFHPW7mKsg&r=aG7akD9oqbxtcStC-bTGnSXcuy1nvHYoRfLJ3maKouU&m=-5rCzwCmgSkp37_DKdXmVeh1r-0H6H73OE1MrdHccVo&s=7aUVjyfL-VbvZuALWinZ9El42Zsk_INjv1V0Un0X_BE&e= > ???: TTI Inc [mailto:creditar@ttiinc.com] ????: 2020?4?15? 0:27 ???: jenny Zhang ??? ??: Past Due Statement - UTP077 [TTI Inc] ________________________________ AP DEPT , Our records indicate that you currently have balances that are 14 days or more past due. If you have not already done so, process your payment today to bring your account current. We have attached a statement of your account to assist you with your payment. When issuing payment, include the invoice number on the payment remittance advice. Account # Invoice# PO# DPD Amount Balance Create Date Due Date 873723502 PO9B20B004 $ 1,104 $ 1,104 12/18/2019 877263301 PO9B29B031 $ 4,788 $ 4,788 010079701 PO9C30B014 $ 169 $ 169 12/30/2019 879207101 PO9C05B009 $ 34.5 $ 34.5 880676801 PO9C11B004 $ 7,746 $ 7,746 12/27/2019 UTP077 878672901 PO9C05B008 14 $ 828 $ 828 12/24/2019 3/31/2020 Total : $ 14,669.5 Should you have any questions, we are available to discuss and answer any invoice concerns. Our contact information is as follows:",Promised
 kindly send us statements in Excel files. We have automated reconciliation in our department which required specific technical format of the data in the statement (in the attachment). Correct and timely invoice reconciliation is crucial to assure all liabilities are registered and paid on time. make sure your statements are provided to us and meeting attached criteria otherwise you may experience delay in response. Email address for statements - Aphelp@ra.rockwell.com you in advance for cooperation.,Statement
 kindly send us statements in Excel files. We have automated reconciliation in our department which required specific technical format of the data in the statement (in the attachment). Correct and timely invoice reconciliation is crucial to assure all liabilities are registered and paid on time. make sure your statements are provided to us and meeting attached criteria otherwise you may experience delay in response. Email address for statements - Aphelp@ra.rockwell.com you in advance for cooperation.,Statement
"Supplier or Employee, you for contacting the Trane Technologies Service Center. Your request has been registered and your ticket number is 2234. Kindly refer the Subject of the email for the reference: Past Due Statement. refer to this ticket number for all future correspondence with the Service Center. You will receive another email notification when your ticket has been assigned and/or resolved",Other
" you for contacting Cummins Sales and Service. Invoice number 874402901 , 878596601 is processing for payment in our system and should be paid according to terms. let us know if we can provide any further assistance.",Promised
 Your email may not have been delivered. See the attached delivery notification. You're getting this message because your organization elected to forward delivery status notifications for emails you send.,Undeliverable
"Sender, you for contacting Rockwell Automation Accounts Payable Department. This Mailbox is dedicated for statements and queries connected with invoices billed to RA North America/Canada/Monterrey/Dominican Republic/Tecate. We will respond to your inquiry within 48h. In case of any urgent matter call us at +414 382 27 33 INVOICES COPIES SHOULD BE SUBMITTED to raaccountspayablemke@ra.rockwell.com PLEASE PROVIDE US AS MUCH INFORMATION AS POSSIBLE/AS YOU HAVE TO SPEED UP THE PROCESS/YOUR VENDOR ACCOUNT IDENTIFICATION. - Invoice status the list of overdue invoices ( invoice number, invoice date, invoice amount, vendor name or number in our system (if known)) - Statement  send statements in Excel files, include Invoice number, Invoice amount, Currency, Invoice date, PO, Comments - Remittance information attach any previous remittance advice received or one paid invoice or include vendor name, payment date, amount, currency, - Change of vendor information  attach any previous remittance advice or already paid invoice. include vendor name (and vendor number in our system if known), what should be changed (new address, new banking details, new email address). If you issue invoices to different RA locations, note if the change refers to all your vendor account on other regions. - Short-payments  include copy of the invoice, amount short-paid, attach remittance advice related - Overpayments, double payments  advise invoice number, dates of payments, attach remittance advices DO NOT MODIFY email SUBJECT in case of follow up.",Auto Reply
"Sender, you for contacting Rockwell Automation Accounts Payable Department. This Mailbox is dedicated for statements and queries connected with invoices billed to RA North America/Canada/Monterrey/Dominican Republic/Tecate. We will respond to your inquiry within 48h. In case of any urgent matter call us at +414 382 27 33 INVOICES COPIES SHOULD BE SUBMITTED to raaccountspayablemke@ra.rockwell.com PLEASE PROVIDE US AS MUCH INFORMATION AS POSSIBLE/AS YOU HAVE TO SPEED UP THE PROCESS/YOUR VENDOR ACCOUNT IDENTIFICATION. - Invoice status the list of overdue invoices ( invoice number, invoice date, invoice amount, vendor name or number in our system (if known)) - Statement  send statements in Excel files, include Invoice number, Invoice amount, Currency, Invoice date, PO, Comments - Remittance information attach any previous remittance advice received or one paid invoice or include vendor name, payment date, amount, currency, - Change of vendor information  attach any previous remittance advice or already paid invoice. include vendor name (and vendor number in our system if known), what should be changed (new address, new banking details, new email address). If you issue invoices to different RA locations, note if the change refers to all your vendor account on other regions. - Short-payments  include copy of the invoice, amount short-paid, attach remittance advice related - Overpayments, double payments  advise invoice number, dates of payments, attach remittance advices DO NOT MODIFY email SUBJECT in case of follow up.",Auto Reply
"Sender, be informed that raaccountspayablemke@ra.rockwell.com is dedicated for invoice submission only. Invoices are sent to process automatically. The text in the body of the message will be ignored. All attachments, which are not invoices, will be deleted. include on the copy of the invoice Purchase Order number (PO) and/or Approver/Buyer Name. - lack of this information will delay the payment. In case of statement or inquiry contact aphelp@ra.rockwell.com  or call us at: +414 382 2733. do not copy this mailbox address in emails sent to aphelp@ra.rockwell.com (in order not to create duplicated invoices in our system).",Auto Reply
The below two invoices were paid on Check # 34956 dated 4/10.  You should have it soon if you don't have it already. Linda Alvarez Commodity Manager d: 281.207.7757 <https://urldefense.proofpoint.com/v2/url?u=http-3A__www.systelusa.com_&d=DwIFAg&c=03vu6jtmBLnSLFHPW7mKsg&r=aG7akD9oqbxtcStC-bTGnSXcuy1nvHYoRfLJ3maKouU&m=Cj_r1kF2y3scuimJrva54G59DCWSFBhyg-SubULmrPA&s=D8LsJ9cA6I4ddUww2_EAm36UxmHTE8b6RQSdManIr0M&e= >,Paid by Customer
" Can you send me a copy of these invoices so I can look into them? Christine Improta | Accounts Payable | Interiors COLLINS AEROSPACE 355 Knickerbocker Avenue, Bohemia, NY  11716 USA Tel: +1 631-256-2223 Fax: +1 631-563-8781 christine.improta@collins.com<mailto:christine.improta@collins.com> | collinsaerospace.com ***PLEASE NOTE ALL INVOICES, STATEMENTS OR CORRESPONDENCE SHOULD BE E-MAILED TO HOLBROOK_AP@BEAEROSPACE.COM<mailto:HOLBROOK_AP@BEAEROSPACE.COM> for the Bohemia facility and HARNESSING_AP@BEAEROSPACE.COM<mailto:HARNESSING_AP@BEAEROSPACE.COM>  for the Nogales facility***",Invoice Copy
 I have reached out for approval on this invoice. you!,Promised
It is in Excel format!  advise pay status to avoid stop ship hold today. [TTI] you. Sonja Clark Regional Credit Analyst Phone 1.866.912.5530   X3926 Local Direct  216-750-9569 Fax: 216.750.9610 sonja.clark@ttiinc.com<mailto:sonja.clark@ttiinc.com> ,Other
"be advised.... Oceaneering has relocated it's Accounts Payable department.  update your records and send future invoices to Adtech-AP@oceaneering.com<mailto:Adtech-AP@oceaneering.com>. New Point of Contact: Email address: JKash@oceaneering.com<mailto:JKash@oceaneering.com> Jacqueline Kash 985-329-3808 The use of the Adtech-AP@oceaneering.com<mailto:Adtech-AP@oceaneering.com> email is for invoice submittal only. All other correspondence should be emailed directly to Jacqueline Kash. While we have taken every measure to avoid any disruptions in our services during this transition, we appreciate your patience in the coming weeks.",Contact Update
"Check #053517 in the amount of $18700.98 was mailed on April 6th. Regards, Coleen Schiro Accounts Payable BC Systems, Inc. 631-751-9370 x337",Paid by Customer
The first two invoices were paid today on check #105313 for $1745.60,Paid by Customer
"** *We are still waiting on the product to pass inspection.* *touch base with your buyer.* *you.* *Regards,* *Jacqueline Kash* *985-329-3808* *Accounts Payable* *Morgan City, LA USA*",Other
 Your email may not have been delivered. See the attached delivery notification. You're getting this message because your organization elected to forward delivery status notifications for emails you send.,Undeliverable
indicate what PO#s the tariff charge is linked to.,Other
 Your email may not have been delivered. See the attached delivery notification. You're getting this message because your organization elected to forward delivery status notifications for emails you send.,Undeliverable
"Supplier, Greetings!!! Hope this email find you well, you for contacting TE connectivity AP department find the attached payment details for your reference Document Number  Reference  Amount in doc. curr.  Local Currency  Payment date 7000003642  024724101  -76.30  USD  5/11/2020 7000003923  027774301  -101.43  USD  5/20/2020 7000004084  030292701  -61.50  USD  5/26/2020 7000004091  031964601  -76.07  USD  5/27/2020 7001019703  018628901  -5,971.20  USD  4/27/2020 7001019704  020254701  -474.32  USD  4/27/2020 7001021622  025338001  -23.50  USD  5/11/2020 7001021866  017190901  -124.47  USD  5/12/2020 7001022544  026680601  -191.50  USD  5/17/2020 7001022545  025496601  -852.40  USD  5/17/2020 7001022546  022674801  -11.60  USD  5/17/2020 7001023267  028901701  -12.42  USD  5/20/2020 7001023318  014093801  -1,559.00  USD  5/21/2020 180010885  029656000  -184.77  USD  5/24/2020 7001024021  031657501  -67.50  USD  5/26/2020 7001024086  032120502  -296.00  USD  5/27/2020 7001024087  031656502  -238.00  USD  5/27/2020 7001024088  031351501  -160.00  USD  5/27/2020",Paid by Customer
